header,group,type,sample
Stone Shape,Product Details,System.String,"Asscher Shape, Baguette Shape"
Stone Shape,Product Details,System.String,"Asscher Shape, Baguette Shape"
Stone Weight,Product Details,System.String,"943, 0.05"
Stone Weight Unit,Product Details,System.String,"Grams, Carats"
Total Diamond Weight,Product Details,System.String,"6, 0.5"
Total Diamond Weight Unit,Product Details,System.String,carats
Collection Name,Product Details,System.String,Rivington
Clasp Type,Product Details,System.String,Bangle
Occasion,Product Details,System.String,Halloween
Occasion,Product Details,System.String,Halloween
Occasion,Product Details,System.String,Halloween
Occasion,Product Details,System.String,Halloween
Occasion,Product Details,System.String,Halloween
Grade Rating,Product Details,System.String,"N20D, 1220"
Metal Stamp,Product Details,System.String,14K
League Name,Product Details,System.String,NBA
League Name,Product Details,System.String,NBA
League Name,Product Details,System.String,NBA
League Name,Product Details,System.String,NBA
Team Name,Product Details,System.String,Manchester city
Athlete,Product Details,System.String,Michael Jordan
Athlete,Product Details,System.String,Michael Jordan
Athlete,Product Details,System.String,Michael Jordan
Athlete,Product Details,System.String,Michael Jordan
Special Features,Product Details,System.String,Moisture Wicking
Special Features,Product Details,System.String,Moisture Wicking
Special Features,Product Details,System.String,Moisture Wicking
Special Features,Product Details,System.String,Moisture Wicking
Special Features,Product Details,System.String,Moisture Wicking
Apparel Size System,Product Details,System.String,UK
Apparel Size Class,Product Details,System.String,Alpha
Apparel Size Value,Product Details,System.String,"4, M, 2 Years"
Apparel Size To Value,Product Details,System.String,"5, L, 3 Years"
Neck Size Value,Product Details,System.String,"15, 16, 17"
Neck Size To Value,Product Details,System.String,"15.5, 16.5, 17.5"
Sleeve Length Value,Product Details,System.String,"32, 33, 34"
Sleeve Length To Value,Product Details,System.String,"33, 34, 35"
Apparel Size Body Type,Product Details,System.String,Plus
Apparel Size Height Type,Product Details,System.String,Tall
Strap Type,Product Details,System.String,"basic, spaghetti"
Strap Type,Product Details,System.String,"basic, spaghetti"
Strap Type,Product Details,System.String,"basic, spaghetti"
Water Resistance Level,Product Details,System.String,Water Resistant
Denomination,Product Details,System.String,"10, 20, 100, 1000"
Design Name,Product Details,System.String,"Birthday, Graduation"
Is Customizable?,Product Details,System.String,Yes
Pre Printed Text,Product Details,System.String,FALSE
Capacity,Product Details,System.String,"5.3, 7, 25"
Capacity Unit,Product Details,System.String,"quarts, litres, gallons"
Voltage,Product Details,System.String,"28, 120"
Voltage Unit,Product Details,System.String,volts
Item Form,Product Details,System.String,"Sticks, Powder, Whole Bean"
Item Form,Product Details,System.String,"Sticks, Powder, Whole Bean"
Item Form,Product Details,System.String,"Sticks, Powder, Whole Bean"
Item Form,Product Details,System.String,"Sticks, Powder, Whole Bean"
Sport Type,Product Details,System.String,Snowboarding
Sport Type,Product Details,System.String,Snowboarding
Back Style,Product Details,System.String,"cushion, pillow"
Back Style,Product Details,System.String,"cushion, pillow"
Back Style,Product Details,System.String,"cushion, pillow"
Back Style,Product Details,System.String,"cushion, pillow"
Back Style,Product Details,System.String,"cushion, pillow"
Grip Type,Product Details,System.String,Insulated
Inseam Length,Product Details,System.String,3
Inseam Length Unit,Product Details,System.String,inches
Top Style,Product Details,System.String,"Blouson, Camisole, Kaftan"
Top Style,Product Details,System.String,"Blouson, Camisole, Kaftan"
Top Style,Product Details,System.String,"Blouson, Camisole, Kaftan"
Top Style,Product Details,System.String,"Blouson, Camisole, Kaftan"
Top Style,Product Details,System.String,"Blouson, Camisole, Kaftan"
Number of Pockets,Product Details,System.String,12
Fabric Stretchability,Product Details,System.String,Stretchable
Shirt Form Type,Product Details,System.String,"T-Shirt, Tuxedo Shirt, Polo Shirt"
Sleeve Cuff Style,Product Details,System.String,"Rolled, Open"
Sleeve Cuff Style,Product Details,System.String,"Rolled, Open"
Animal Theme,Product Details,System.String,Alpaca
Fashion Decade,Product Details,System.String,1970s
Generic Keyword,Product Details,System.String,Water sport shoes; Derek Rose; Electric; Wi-Fi; Banana
Generic Keyword,Product Details,System.String,Water sport shoes; Derek Rose; Electric; Wi-Fi; Banana
Generic Keyword,Product Details,System.String,Water sport shoes; Derek Rose; Electric; Wi-Fi; Banana
Generic Keyword,Product Details,System.String,Water sport shoes; Derek Rose; Electric; Wi-Fi; Banana
Material,Product Details,System.String,"Resin, Plastic"
Material,Product Details,System.String,"Resin, Plastic"
